dBm
(-0.00015199999999999998+0.000455j)
(-0.00016199999999999998+0.000455j)
(-0.00015099999999999998+0.00045599999999999997j)
(-0.000158+0.000461j)
(-0.00015099999999999998+0.000461j)
(-0.000158+0.000466j)
(-0.000148+0.00045599999999999997j)
(-0.000149+0.000466j)
(-0.00014099999999999998+0.000453j)
(-0.000136+0.00045799999999999997j)
(-0.000129+0.00044899999999999996j)
(-0.000126+0.00044699999999999997j)
(-0.000124+0.000434j)
(-0.000125+0.000434j)
(-0.000124+0.000428j)
(-0.000134+0.00043j)
(-0.00014199999999999998+0.00042699999999999997j)
(-0.00015099999999999998+0.000448j)
(-0.00015199999999999998+0.000446j)
(-0.000155+0.00047j)
(-0.00015099999999999998+0.000464j)
(-0.000155+0.00047799999999999996j)
(-0.00014199999999999998+0.000477j)
(-0.000136+0.000481j)
(-0.000124+0.00048499999999999997j)
(-0.000111+0.000491j)
(-0.00010499999999999999+0.000486j)
(-9.9e-05+0.000479j)
(-9.499999999999999e-05+0.00047999999999999996j)
(-8.9e-05+0.000472j)
(-9.099999999999999e-05+0.00046899999999999996j)
(-9.2e-05+0.00047099999999999996j)
(-0.00010499999999999999+0.000466j)
(-9.9e-05+0.000474j)
(-0.000101+0.00047999999999999996j)
(-9.4e-05+0.00047999999999999996j)
(-9.099999999999999e-05+0.000484j)
(-8.099999999999999e-05+0.00048699999999999997j)
(-7.999999999999999e-05+0.00047799999999999996j)
(-7.099999999999999e-05+0.000479j)
(-6.8e-05+0.000474j)
(-5.9999999999999995e-05+0.000459j)
(-5.6999999999999996e-05+0.00046199999999999995j)
(-5.6999999999999996e-05+0.00044899999999999996j)
(-5.9999999999999995e-05+0.00045099999999999996j)
(-6.5e-05+0.00045j)
(-7.3e-05+0.000455j)
(-8.499999999999999e-05+0.000452j)
(-7.8e-05+0.00047j)
(-8.499999999999999e-05+0.000474j)
(-7.599999999999999e-05+0.000488j)
(-8.099999999999999e-05+0.000496j)
(-7e-05+0.000496j)
(-6.5e-05+0.000503j)
(-5.3e-05+0.000504j)
(-4.4e-05+0.0005059999999999999j)
(-2.9999999999999997e-05+0.000505j)
(-2.2e-05+0.000494j)
(-1.8e-05+0.0004919999999999999j)
(-1.7e-05+0.000486j)
(-1.6e-05+0.000484j)
(-2.4e-05+0.000475j)
(-2.1e-05+0.00048199999999999995j)
(-2.7e-05+0.00048199999999999995j)
(-2.3e-05+0.00048699999999999997j)
(-1.7e-05+0.00048199999999999995j)
(-2.1e-05+0.00048499999999999997j)
(-1.2e-05+0.00047999999999999996j)
(-7e-06+0.00048499999999999997j)
(-3e-06+0.000484j)
(1e-06+0.00047599999999999997j)
(6e-06+0.00047799999999999996j)
(1.1e-05+0.00046199999999999995j)
(1.4e-05+0.000461j)
(1.4e-05+0.00045j)
(7e-06+0.00045j)
(-9e-06+0.00045j)
(-1.3e-05+0.000454j)
(-2.4999999999999998e-05+0.00046199999999999995j)
(-2.2e-05+0.00047099999999999996j)
(-2.4e-05+0.00047999999999999996j)
(-2.1e-05+0.00049j)
(-1.4e-05+0.000494j)
(-4e-06+0.000502j)
(6e-06+0.000505j)
(1.6e-05+0.000503j)
(2.4e-05+0.000503j)
(3.6e-05+0.0004969999999999999j)
(3.9999999999999996e-05+0.0005j)
(5.1e-05+0.000484j)
(4.8e-05+0.00048199999999999995j)
(4.9e-05+0.000472j)
(4.6e-05+0.000479j)
(3.9e-05+0.000479j)
(4.1e-05+0.000484j)
(3.2999999999999996e-05+0.00047999999999999996j)
(4.7e-05+0.000486j)
(4.4e-05+0.00047999999999999996j)
(5.2e-05+0.00049j)
(5.4e-05+0.00047999999999999996j)
(5.9999999999999995e-05+0.00048699999999999997j)
(5.6e-05+0.000474j)
(6.3e-05+0.000473j)
(6.3e-05+0.00046199999999999995j)
(7e-05+0.000457j)
(6.2e-05+0.00045099999999999996j)
(6.2e-05+0.00044899999999999996j)
(4.1e-05+0.000448j)
(4.6e-05+0.000459j)
(3.1e-05+0.00046899999999999996j)
(3.9999999999999996e-05+0.00047999999999999996j)
(3.7e-05+0.000489j)
(4.6e-05+0.000495j)
(4.8e-05+0.000508j)
(6.1e-05+0.000502j)
(7.099999999999999e-05+0.000504j)
(9.099999999999999e-05+0.000499j)
(9.7e-05+0.000491j)
(0.000116+0.000489j)
(0.000111+0.000484j)
(0.00011999999999999999+0.000474j)
(0.000112+0.00047599999999999997j)
(0.00011499999999999999+0.00046899999999999996j)
(0.000107+0.00047j)
(0.000113+0.00047099999999999996j)
(0.00011399999999999999+0.000461j)
(0.00011999999999999999+0.000472j)
(0.000127+0.00046499999999999997j)
(0.000129+0.00047j)
(0.00013099999999999999+0.00046899999999999996j)
(0.00014+0.00047j)
(0.000138+0.00045799999999999997j)
(0.000146+0.000459j)
(0.00014199999999999998+0.000444j)
(0.00015199999999999998+0.000443j)
(0.000138+0.00043599999999999997j)
(0.000144+0.00042899999999999997j)
(0.00013199999999999998+0.000425j)
(0.00013+0.000435j)
(0.00012299999999999998+0.00043j)
(0.00012299999999999998+0.00045799999999999997j)
(0.00011899999999999999+0.000454j)
(0.000125+0.00047599999999999997j)
(0.00013+0.000472j)
(0.00014199999999999998+0.000486j)
(0.000146+0.000481j)
(0.00016099999999999998+0.00047599999999999997j)
(0.000165+0.00047799999999999996j)
(0.000178+0.000468j)
(0.000185+0.000454j)
(0.000187+0.000452j)
(0.000188+0.00043999999999999996j)
(0.000185+0.000448j)
(0.00018199999999999998+0.00043999999999999996j)
(0.00017999999999999998+0.00044699999999999997j)
(0.000174+0.000446j)
(0.000178+0.000444j)
(0.000183+0.000448j)
(0.000184+0.00045j)
(0.000195+0.000455j)
(0.00019999999999999998+0.000448j)
(0.000203+0.00044899999999999996j)
(0.00020899999999999998+0.00043299999999999995j)
(0.000206+0.000425j)
(0.00020899999999999998+0.00041799999999999997j)
(0.000204+0.00041j)
(0.000202+0.00040899999999999997j)
(0.000193+0.000408j)
(0.000185+0.000415j)
(0.000183+0.00041799999999999997j)
(0.000177+0.000426j)
(0.000187+0.000439j)
(0.000187+0.00043999999999999996j)
(0.00020099999999999998+0.000453j)
(0.000204+0.000455j)
(0.000223+0.000453j)
(0.000222+0.000453j)
(0.000243+0.000445j)
(0.000245+0.00044199999999999996j)
(0.000251+0.00043099999999999996j)
(0.00025499999999999996+0.00042699999999999997j)
(0.00025499999999999996+0.000419j)
(0.000257+0.000414j)
(0.000249+0.000408j)
(0.000247+0.00041j)
(0.000242+0.00041299999999999996j)
(0.000249+0.000414j)
(0.000237+0.000415j)
(0.000251+0.000423j)
(0.00024599999999999996+0.000414j)
(0.000254+0.000414j)
(0.000252+0.00040899999999999997j)
(0.00026199999999999997+0.00040199999999999996j)
(0.000258+0.000406j)
(0.00026199999999999997+0.00039j)
(0.000256+0.000387j)
(0.000258+0.000376j)
(0.000244+0.000379j)
(0.000244+0.000376j)
(0.000237+0.000379j)
(0.000234+0.000395j)
(0.00023799999999999998+0.00039799999999999997j)
(0.000234+0.000415j)
(0.000242+0.000414j)
(0.000248+0.00042699999999999997j)
(0.00026+0.000415j)
(0.000268+0.00043599999999999997j)
(0.000278+0.00041299999999999996j)
(0.000289+0.000426j)
(0.000292+0.000396j)
(0.00030199999999999997+0.00040199999999999996j)
(0.00030399999999999996+0.000386j)
(0.000305+0.000384j)
(0.000301+0.000376j)
(0.000303+0.000379j)
(0.000296+0.00036899999999999997j)
(0.000296+0.000376j)
(0.000296+0.000377j)
(0.00030199999999999997+0.00038199999999999996j)
(0.00030399999999999996+0.000392j)
(0.000306+0.00038199999999999996j)
(0.00031+0.000384j)
(0.00031+0.000372j)
(0.00031099999999999997+0.00037099999999999996j)
(0.000314+0.000363j)
(0.000312+0.00035299999999999996j)
(0.000303+0.000348j)
(0.000303+0.000337j)
(0.00029299999999999997+0.000341j)
(0.000292+0.00034399999999999996j)
(0.000279+0.00035099999999999997j)
(0.00028399999999999996+0.000359j)
(0.000279+0.00037j)
(0.00028399999999999996+0.000384j)
(0.000289+0.000383j)
(0.000299+0.00039299999999999996j)
(0.000305+0.000386j)
(0.000328+0.000392j)
(0.00032399999999999996+0.000383j)
(0.000336+0.000377j)
(0.000336+0.000367j)
(0.00035099999999999997+0.000358j)
(0.00033999999999999997+0.000355j)
(0.000348+0.000343j)
(0.00033999999999999997+0.00033999999999999997j)
(0.000336+0.000337j)
(0.000336+0.000343j)
(0.000332+0.00033999999999999997j)
(0.000336+0.000346j)
(0.000335+0.000348j)
(0.000341+0.00035j)
(0.00033999999999999997+0.000346j)
(0.00034899999999999997+0.000343j)
(0.00034899999999999997+0.00033099999999999997j)
(0.000354+0.000328j)
(0.00034899999999999997+0.000318j)
(0.000348+0.00031499999999999996j)
(0.00034399999999999996+0.00031j)
(0.00033999999999999997+0.000307j)
(0.000339+0.000307j)
(0.000328+0.000307j)
(0.000332+0.000314j)
(0.000325+0.000328j)
(0.000335+0.000335j)
(0.00033099999999999997+0.00033999999999999997j)
(0.000347+0.000346j)
(0.00034899999999999997+0.000347j)
(0.000367+0.000346j)
(0.000372+0.00034199999999999996j)
(0.000381+0.000326j)
(0.000388+0.00032399999999999996j)
(0.000388+0.000309j)
(0.000392+0.000307j)
(0.000386+0.0003j)
(0.000387+0.000294j)
(0.00038199999999999996+0.000294j)
(0.00038199999999999996+0.000289j)
(0.00038199999999999996+0.000288j)
(0.000385+0.00029499999999999996j)
(0.000386+0.000297j)
(0.00038899999999999997+0.000296j)
(0.000396+0.00029099999999999997j)
(0.00039+0.000296j)
(0.000396+0.00028199999999999997j)
(0.000395+0.000276j)
(0.000394+0.000269j)
(0.00039+0.000265j)
(0.00039099999999999996+0.000256j)
(0.000376+0.000256j)
(0.000379+0.00025499999999999996j)
(0.000372+0.000259j)
(0.000368+0.000267j)
(0.00036899999999999997+0.000277j)
(0.00036899999999999997+0.000285j)
(0.000366+0.00029j)
(0.000379+0.000298j)
(0.000385+0.000299j)
(0.000403+0.000298j)
(0.00040899999999999997+0.0003j)
(0.00041999999999999996+0.000288j)
(0.000423+0.00028399999999999996j)
(0.000425+0.000271j)
(0.00042199999999999996+0.000259j)
(0.000419+0.000249j)
(0.00043099999999999996+0.000244j)
(0.000419+0.000235j)
(0.000424+0.00023899999999999998j)
(0.000412+0.00023799999999999998j)
(0.000417+0.000237j)
(0.000414+0.000249j)
(0.000426+0.000237j)
(0.000421+0.000244j)
(0.00042899999999999997+0.00023099999999999998j)
(0.000426+0.00022899999999999998j)
(0.000432+0.00021999999999999998j)
(0.00043+0.00021799999999999999j)
(0.000428+0.000213j)
(0.000424+0.000207j)
(0.00041999999999999996+0.000204j)
(0.00041299999999999996+0.00019899999999999999j)
(0.00040899999999999997+0.000207j)
(0.00040699999999999997+0.000197j)
(0.000403+0.000215j)
(0.000396+0.000205j)
(0.000396+0.000233j)
(0.00040699999999999997+0.00022899999999999998j)
(0.000416+0.00023899999999999998j)
(0.00042899999999999997+0.000245j)
(0.000441+0.00023099999999999998j)
(0.000443+0.000233j)
(0.000452+0.000216j)
(0.000453+0.00021999999999999998j)
(0.000454+0.000198j)
(0.000464+0.00019099999999999998j)
(0.000453+0.000177j)
(0.000464+0.000173j)
(0.000446+0.000167j)
(0.000454+0.000168j)
(0.000443+0.000173j)
